polarity,word
0.2857142857142857,right
0.2,really
0.15,normally
0.2,much
0.2,much
-0.16666666666666666,less
0.8,experienced
0.5,skilled
0.5,confident
0.2,real
0.5,astonishing
0.13636363636363635,live
-0.125,extreme
-0.3,least
0.25,exact
0.3,compelling
-0.125,sharply
-0.07142857142857142,limited
0.4,important
-0.16666666666666666,subject
0.1,offers
0.1,direct
0.3,powerful
0.5,elaborate
0.3333333333333333,artistic
0.05,apparently
0.5,better
0.5,respectful
0.5,love
0.25,first
0.1,far
0.5,sure
0.5,safe
-0.1,mental
0.4,fit
0.25,interested
0.8,great
0.2,really
0.375,familiar
-0.3,negatively
0.5,better
0.5,love
0.5,better
0.2,really
0.375,original
0.3,compelling
0.4,important
0.4,relevant
0.2,whole
0.4,available
0.2,real
-0.25,juvenile
-0.4,poor
0.2,really
0.16666666666666666,mainly
-0.4,broken
0.2,much
-0.1,jail
-0.16666666666666666,less
-0.3333333333333333,serious
0.2,whole
0.35,full
0.25,first
0.1,professional
-0.4,criminal
-0.4,criminal
0.5,top
-0.25,small
-0.8,violent
0.4166666666666667,fine
-0.6666666666666666,impossible
0.2,whole
0.2,whole
-0.6,dirty
0.1,completely
-0.1,mental
0.2,really
1.0,perfect
1.0,perfect
0.5,many
-0.4,criminal
-0.1,mental
-0.16666666666666666,black
-0.16666666666666666,black
0.2,responsible
0.7,loved
-0.1,lifelong
0.15,normally
0.2,much
0.4,available
0.3333333333333333,quickly
-0.1,harder
0.5,mostly
-0.21428571428571427,plain
0.2,legal
-0.4,worse
0.2,legal
0.16,high
0.16,high
0.16,high
0.0625,major
-0.5,illegal
0.16,high
0.15,normally
0.16,high
0.16,high
0.16,high
0.3,elementary
0.16,high
-0.16666666666666666,less
-0.16666666666666666,odd
0.25,exactly
-0.8,rank
0.5,many
-0.4,criminal
0.35,full
-0.1,spent
-0.3166666666666667,failure
-0.2,heavy
0.4,light
-0.2,heavy
-0.6,dangerous
0.13636363636363635,new
0.1,early
-0.4,criminal
-0.6,dangerous
-0.6,dangerous
0.13636363636363635,new
-0.2,destroy
0.7,good
0.3,useful
0.13636363636363635,new
0.2,really
0.4,cheap
0.43333333333333335,easy
-0.3166666666666667,failure
-0.2,heavy
0.4,light
-0.2,heavy
-0.6,dangerous
0.13636363636363635,new
0.1,early
-0.4,criminal
-0.6,dangerous
-0.6,dangerous
0.13636363636363635,new
-0.2,destroy
0.7,good
0.7000000000000001,bright
0.13636363636363635,new
0.2,really
0.4,cheap
0.43333333333333335,easy
0.1,old
0.4000000000000001,huge
-0.13333333333333333,active
-0.2,trouble
-0.05,long
0.25,pretty
0.2,much
-0.5,useless
0.2,ironic
0.3333333333333333,super
-0.5,fails
0.13636363636363635,live
-0.4,worse
-0.4,behind
-0.4,criminal
-1.0,horrible
-0.25,small
0.7,good
-0.1,aged
0.5,sexual
0.25,aware
0.1,sensitive
0.5,sexual
0.5,sexual
0.25,aware
0.25,interested
0.4,free
0.2,much
-0.25,juvenile
0.16,high
0.6,effectively
0.13636363636363635,new
-0.4,criminal
0.375,significantly
0.375,original
-0.125,due
0.6,effective
0.2,thanks
0.2,really
0.2857142857142857,right
0.13636363636363635,live
0.5,sure
0.2,really
0.5,many
0.4333333333333333,strongly
0.1,epic
-0.1,jail
-0.1,spent
0.21428571428571427,large
0.1,adult
-0.1,spent
-0.2,disabled
0.5,many
-0.1,wide
-0.6,cutting
0.1,complete
0.5,touching
0.3333333333333333,lucky
-0.175,mess
-0.1,jail
0.2,much
0.5,better
0.4000000000000001,huge
-0.16666666666666666,black
0.8,greatly
-0.1,jail
0.21428571428571427,certain
0.5,able
-0.16666666666666666,black
1.0,greatest
-0.1875,little
-1.0,boring
-0.1,jail
0.4000000000000001,huge
-0.2916666666666667,hard
0.05000000000000002,generally
-0.15,average
-0.07142857142857142,single
0.1,adult
0.13636363636363635,live
-0.4,approximately
0.2,much
-0.05,long
-0.5,unfortunately
-0.2,disabled
0.1,old
0.5,able
0.21428571428571427,large
-0.2,trouble
0.15,normal
0.5,mostly
-0.125,due
-0.25,past
0.6,unprecedented
-0.125,due
0.13636363636363635,live
-0.3166666666666667,failure
0.1,old
-0.1,jail
0.2,whole
0.1,near
-0.1,center
0.5,sexual
0.5,sexual
0.25,married
0.5,sexually
0.5,sexual
-0.05,long
0.5,sexual
-0.6999999999999998,bad
0.25,married
1.0,best
-0.5,corrupt
0.7,loved
-0.6666666666666666,impossible
-1.0,disgusting
-0.4,poorly
-0.5,twisted
0.7,good
0.7,loved
0.4,free
0.4,free
0.375,friendly
0.2,really
-0.2,missing
0.2,legal
0.375,friendly
0.25,interested
0.4,available
0.5,love
-0.5,shy
0.13636363636363635,new
-0.6666666666666666,impossible
0.2,responsible
0.5,better
0.22727272727272727,positive
0.2,straight
0.5,many
0.1,old
0.1,old
0.13636363636363635,new
-0.6,desperately
0.1,completely
0.5,sure
0.1,young
0.2,straight
0.5,better
0.16,high
0.2,really
0.1,old
0.5,love
-0.05,minor
-0.025,flat
-0.2,killed
